NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
GUI,0.0,0.42934254821877327,0.11364949805791058,0.09470791504825882,0.2209851351126039,3.4266754587309673
TTO,0.0,0.3848512991451929,0.101872402714904,0.08489366892908666,0.19808522750120222,23.999487579713687
QAT,0.0,0.3545821403445838,0.09430323449889631,0.07808367175370626,0.18219523409198127,11.08064481838717
BIH,0.0,0.3448728584463481,0.09128987429462154,0.07607489524551796,0.17750808890620856,5.903243651890961
VEN,0.0,0.6832007468661055,0.08276851490722399,0.43949345297261266,0.16093877898626888,58.3357531915121
URU,0.0,0.2523352326502484,0.06679462040741868,0.055662183672848906,0.12987842856998078,10.440068196428284
FIN,0.0,1.6208964006839484,0.06583712782613158,0.4839430786797884,1.0711161941780283,42.76165712820429
MOZ,0.0,0.2461401972460613,0.06515475809454563,0.054295631745454695,0.12668980740606095,2.8837015248734836
JAM,0.0,1.187395963474224,0.054548640177794115,1.026780522950719,0.10606680034571078,37.40424529451985
SRB,0.0,0.6216934787647614,0.0515026827724637,0.47004669060139603,0.10014410539090163,45.65424250543661
NGR,0.0,0.18994365646785027,0.05027920318266625,0.04189933598555521,0.09776511729962882,35.368723435596024
PUR,0.0,0.534560663891341,0.042440546988886885,0.4095968310907297,0.08252328581172451,25.27097781932426
MAS,0.0,0.7589956610825244,0.037862445277082435,0.6475117944333373,0.07362142137210473,26.855041706153457
ECU,0.0,0.13965803403208885,0.03696830312614116,0.030806919271784305,0.07188281163416338,25.498914771632904
CHI,0.0,0.12893131630214144,0.034128877844684505,0.028440731537237085,0.06636170692021987,25.82532422758068
SCG,0.0,0.12360715290644979,0.03271954047523671,0.027266283729363922,0.06362132870184915,8.35654687065537
INA,0.0,0.12292825869504972,0.03253983318398375,0.027116527653319795,0.06327189785774619,21.07472370742188
KGZ,0.0,0.7405515374700281,0.030975837406528463,0.02581319783877372,0.6837625022247259,17.91680696728969
SGP,0.0,0.48873713581291167,0.030310789556361455,0.02525899129696788,0.4331673549595823,20.05224300716388
